track_id, type, traveled_d, avg_speed
_1, Car, 48.85, 9.770344
_2, Motorcycle, 98.09, 19.839417
_3, Motorcycle, 63.80, 18.228752
_4, Motorcycle, 145.72, 26.229014
_5, Motorcycle, 138.01, 24.841425
_6, Medium Vehicle, 159.97, 17.451502
_7, Motorcycle, 153.91, 22.895895
_8, Car, 158.21, 21.739084
_9, Car, 161.01, 21.154471
_10, Car, 159.53, 18.891989
_11, Car, 182.51, 18.251311
_12, Motorcycle, 158.41, 22.104237
_13, Motorcycle, 150.20, 23.925733
_14, Car, 189.93, 22.056919
_15, Car, 214.13, 22.672299
_16, Motorcycle, 238.04, 24.624831
_17, Motorcycle, 130.20, 0.572429
_18, Medium Vehicle, 142.37, 9.971513
_19, Car, 241.54, 11.655932
_20, Car, 225.57, 21.712530
_21, Car, 179.72, 19.969240
_22, Bus, 256.15, 22.166647
_23, Bus, 267.26, 28.465902
_24, Car, 268.07, 22.548021
_25, Car, 333.54, 23.180557
_26, Car, 313.23, 33.165511
_27, Car, 318.05, 31.982182
_28, Car, 339.20, 31.800391
_29, Motorcycle, 367.19, 38.878858
_30, Motorcycle, 349.30, 50.704412
_31, Car, 381.07, 28.820679
_32, Car, 391.30, 32.015804
_33, Motorcycle, 375.58, 33.972209
_34, Car, 419.85, 21.592529
_35, Car, 416.76, 20.274803
_36, Motorcycle, 392.76, 34.825792
_37, Bus, 158.46, 17.079537
_38, Car, 358.27, 17.476598
_39, Car, 372.52, 16.354501
_40, Car, 383.98, 16.614463
_41, Motorcycle, 282.72, 22.418229
_42, Motorcycle, 361.74, 37.637358
_43, Motorcycle, 423.13, 41.848151
_44, Car, 402.49, 21.756245
_45, Car, 354.28, 18.116729
_46, Car, 411.41, 21.909637
_47, Car, 447.53, 20.038720
_48, Motorcycle, 196.29, 14.660605
_49, Motorcycle, 60.09, 31.813922
_50, Car, 425.20, 19.278561
_51, Motorcycle, 259.92, 16.358897
_52, Car, 254.50, 22.023772
_53, Car, 199.92, 13.377304
_54, Car, 127.54, 9.686211
_55, Car, 160.92, 11.679452
_56, Car, 242.95, 15.079722
_57, Car, 302.89, 8.426560
_58, Car, 123.27, 9.522898
_59, Motorcycle, 48.32, 8.966502
_60, Car, 47.42, 7.977767
_61, Motorcycle, 194.91, 14.204055
_62, Taxi, 79.97, 22.847876
_63, Taxi, 289.89, 1.867591
_64, Bus, 456.09, 7.993864
_65, Taxi, 280.45, 16.025744
_66, Taxi, 258.97, 11.861130
_67, Taxi, 185.56, 12.058342
_68, Taxi, 185.13, 12.915959
_69, Taxi, 127.12, 10.495797
_70, Taxi, 442.64, 19.918851
_71, Heavy Vehicle, 151.24, 1.495741
_72, Taxi, 183.52, 20.907353
_73, Taxi, 15.99, 13.709574
_74, Taxi, 434.68, 21.261560
_75, Taxi, 133.20, 23.278397
_76, Taxi, 353.88, 31.072162
_77, Taxi, 295.46, 21.796327
_78, Taxi, 206.77, 19.692781
_79, Taxi, 215.55, 26.574647
_80, Taxi, 222.00, 22.323695
_81, Taxi, 194.40, 21.600212
_82, Taxi, 150.55, 22.395560
_83, Taxi, 74.22, 12.145817
_84, Taxi, 47.42, 8.368982
_85, Heavy Vehicle, 162.57, 0.821502
_86, Car, 124.14, 0.894165
_87, Car, 267.76, 3.733237
_88, Car, 129.13, 12.701076
_89, Motorcycle, 64.32, 14.118982
_90, Taxi, 465.45, 20.285877
_91, Motorcycle, 200.41, 14.091146
_92, Taxi, 214.67, 14.976690
_93, Motorcycle, 193.61, 28.800755
_94, Car, 110.34, 9.237562
_95, Taxi, 463.50, 20.600212
_96, Car, 204.85, 14.749486
_97, Heavy Vehicle, 467.87, 16.102669
_98, Motorcycle, 9.37, 8.433102
_99, Motorcycle, 19.93, 22.420906
_100, Car, 212.97, 10.618917
_101, Car, 169.41, 9.932919
_102, Motorcycle, 463.17, 31.942672
_103, Motorcycle, 57.62, 23.048464
_104, Car, 196.09, 14.118836
_105, Taxi, 235.00, 30.000579
_106, Medium Vehicle, 502.33, 31.726205
_107, Car, 236.72, 25.668102
_108, Motorcycle, 79.34, 13.472079
_109, Car, 196.80, 14.169529
_110, Motorcycle, 489.10, 35.215056
_111, Motorcycle, 346.02, 15.570855
_112, Car, 485.57, 29.527702
_113, Taxi, 498.93, 32.073758
_114, Motorcycle, 345.72, 15.104365
_115, Taxi, 486.39, 30.189553
_116, Car, 264.09, 14.948745
_117, Motorcycle, 261.73, 16.472408
_118, Car, 483.02, 30.506824
_119, Car, 347.36, 1.593008
_120, Car, 332.18, 22.563180
_121, Car, 109.56, 16.033300
_122, Car, 39.34, 12.003092
_123, Car, 236.57, 8.399053
_124, Car, 206.17, 32.553122
_125, Car, 212.07, 4.013894
_126, Taxi, 483.24, 23.636685
_127, Car, 498.84, 34.802491
_128, Taxi, 108.46, 20.127502
_129, Car, 284.79, 2.024552
_130, Car, 483.11, 23.005001
_131, Taxi, 233.66, 27.489050
_132, Car, 483.28, 19.417664
_133, Car, 36.86, 8.191375
